input_id,role,path,exists,bytes,sha256,modified_at,git_status,governs
LCI-6ACE68860FA03D,country overview document,data/Netherlands/Overview Netherlands.docx,true,36891,c61b38db3c99a7d795517955c5f99e7572abf74b5ff0f7fe0504e1f0231a772b,2026-04-09T12:59:44.000Z,clean,report:country-evidence
LCI-33160F8D1793F4,country overview document,data/North Macedonia/Overview North Macedonia.docx,true,23658,fe6ea6efaf23db57d2c0e7381211c3d5e7a43d6fa121359ef6f0c315425491b2,2026-04-17T13:22:15.000Z,clean,report:country-evidence
LCI-506A9697BC0CF8,country overview document,data/Norway/Overview Norway.docx,true,21419,9e05a318e4e72987bfd091fa98a9cc16fb9303e9160f59186f7ae6b1f4dbddaf,2026-04-09T14:45:32.000Z,clean,report:country-evidence
LCI-23580764BF65D0,overview extraction history,data/overview-extraction-log.csv,true,7693,462c040c548877e1374a6f86e22cc064f9202b27f58bbbeebf1e35a6353f99e6,2026-04-23T13:15:50.000Z,clean,report:overview-denominator
LCI-0E0780AFBF510D,country overview document,data/Poland/Overview Poland.docx,true,26596,6679c12ba97074f5504ea4fe4e13b8064661935b209b743f837811f77ceee59a,2026-04-16T07:11:23.000Z,clean,report:country-evidence
LCI-4F66CE37479C93,country overview document,data/Portugal/Overview Portugal.docx,true,22629,fc33e79e6633c92a85108d5751b5fa3760a26280c084426addcf45bb7ac76906,2026-04-15T13:44:23.000Z,clean,report:country-evidence
LCI-FAF75DDF1FAE31,country overview document,data/Romania/Overview Romania.docx,true,20194,467e97d2e13d9c5bdb4882da9dd603c0c45f16ba3ea68fa79bdd9f235b260b30,2026-04-17T14:02:53.000Z,clean,report:country-evidence
LCI-699A21B29220E2,country overview document,data/Russia/Overview Russia.docx,true,22827,fb4c042b9c0a13d53d4eb2ce6ca4fa44b6b51eb96afe5fb643bb0e27668a9d56,2026-04-17T13:24:04.000Z,clean,report:country-evidence
LCI-CDE5C2D0F29AA6,country overview document,data/Serbia/Overview Serbia.docx,true,24709,ec57b0e46cf5932267d44b3459221d3bed82316238fc91055501e54f481a8eb3,2026-04-17T13:22:49.000Z,clean,report:country-evidence
LCI-25726A67C18EF1,country overview document,data/Slovakia/Overview Slovakia.docx,true,26174,6ada47e8ed9ee2c69d26184b5eed639df87bb16b5f29cad2cb1c7264846b4f35,2026-04-17T05:55:37.000Z,clean,report:country-evidence
LCI-3A1F40A669A422,country overview document,data/Slovenia/Overview Slovenia.docx,true,23514,ace167bb2133d01e31cdc4e092fc1694671bcc355343e983438815e6ae28108c,2026-04-17T05:55:01.000Z,clean,report:country-evidence
LCI-9F929A9D4AB9ED,official source audit trail,data/source-registry.csv,true,631049,716c77bbc6b9aeb69e8f2fba84b102a4d16babc6c514b7a1d31fe452814f2261,2026-07-31T11:29:23.505Z, M,report:source-denominator | report:provenance
LCI-292A9712E044B2,country overview document,data/Spain/Overview Spain.docx,true,23643,c1bf9d67b91eddc446b5fd6812058b03c8e5ebd39c2926cc92bf3dd625e5f307,2026-04-15T13:46:12.000Z,clean,report:country-evidence
LCI-04031B311184BF,country overview document,data/Sweden/Overview Sweden.docx,true,26890,001d53bbc5ecd78797459a79174ea13c16950c6b3d8bb2c1b6fb5b62285cdd5f,2026-04-10T07:15:10.000Z,clean,report:country-evidence
LCI-748AB88B6780DE,country overview document,data/Switzerland/Overview Switzerland.docx,true,22636,6eb7c332ce9eac3c44da9f9f6c233042fa314c11ee71f5f4128d808c0a5bd443,2026-04-16T07:10:11.000Z,clean,report:country-evidence
LCI-DABE888ED2C142,transparency extraction history,data/transparency-extraction-log.csv,true,31532,73044b5e53363d87e8a48db9e49f304fb5a8cd345d360dbe52d13785c3fe62e4,2026-07-31T09:59:16.844Z, M,report:transparency-provenance
LCI-D4263D975B2016,live transparency layer,data/transparency.js,true,157222,970b008a29c00d9aa0b0cf71e9c27a46b07775f07ef8e30d1e0f16761a8200e8,2026-07-31T09:58:03.734Z, M,report:transparency-denominator | report:publication-models
LCI-C9562146725B2F,country overview document,data/Turkey/Overview Turkey.docx,true,26670,65141616d9e50688ff18163790a6080a2f5d68d20c135a1666f43c5a3b029df1,2026-04-17T13:23:25.000Z,clean,report:country-evidence
LCI-72D178EBC0BA4B,country overview document,data/Ukraine/Overview Ukraine.docx,true,24849,8d6efa433c418a8349c2d84d5b58522e39459df1c9f0dfe8b1e0dee5a7253598,2026-04-17T05:51:40.000Z,clean,report:country-evidence
LCI-787ED80E78895E,country overview document,data/United Kingdom/Overview United Kingdom.docx,true,23317,88644df6f3c30f5a137e69c850ee81d1e124b6aa62266de601aa809582b1fea4,2026-04-23T12:58:44.000Z,clean,report:country-evidence
LCI-3C94E79280C846,reproducible Word builder,docs/article/build_leru_report_outline.py,true,71641,3c1bc4497052aeb1ba2d970a04ea74e73a90742d27547300e4276c43072cf0a6,2026-07-15T10:17:38.066Z,clean,report:word-output
LCI-96EBC469F3AC0C,production specification,docs/article/LERU-REPORT-PRODUCTION-GUIDE.md,true,22288,01e034118eca80e46bc2f891f6ecbdfd278c4e9d47856d188afb5ff3ed1dd92a,2026-07-31T11:32:07.863Z,??,report:architecture | report:evidence-rules
LCI-B862A0B935800D,public-output definitions and audit,docs/status/LERU-PUBLIC-OUTPUT-AUDIT.md,true,18607,31db7cd34602c4486d4c4c259c94d83bf6511c8cb82b27afdaa1deb4c0bc2fa8,2026-07-31T11:31:12.105Z, M,report:public-output-typology
LCI-8599AFD74BD732,member evidence-gap control,docs/status/LERU-REPORT-GAP-MATRIX.md,true,21441,efbfddb63bf8e7636a2a98b692a2f6d3547b915d24b64f4da0c92d928940da75,2026-07-31T11:33:37.247Z, M,report:member-gaps
LCI-CDE136363D3664,current substantive outline,reports/LERU-research-integrity-report-article-outline-review.docx,true,59420,01a91e9def28fbe71d8817b4c3145c995d1372a86e2cf267cfdf05c8d6c431a6,2026-07-15T10:17:55.114Z,clean,report:draft-baseline
