source_id,title,requested_url,final_url,access_date,status,http_status,redirect_count,content_type,content_length_header,etag,last_modified,bytes_fingerprinted,fingerprint_sha256,fingerprint_scope,technical_change,substantive_equivalence,expected_result,expectation_met,error,review_reasons
PILOT-LIVE-HTML,LERU official members page,https://www.leru.org/members,https://www.leru.org/members,2026-07-30,accessible,200,0,text/html; charset=UTF-8,,,,44237,589de07eb47251ba50c4c97a9fa47808d36d0cef722530a71f432d068fb44289,complete received body,initial baseline,not assessed,accessible,true,,
PILOT-PDF-CODE,ALLEA European Code of Conduct for Research Integrity 2023,https://allea.org/wp-content/uploads/2023/06/European-Code-of-Conduct-Revised-Edition-2023.pdf,https://allea.org/wp-content/uploads/2023/06/European-Code-of-Conduct-Revised-Edition-2023.pdf,2026-07-30,accessible,200,0,application/pdf,467208,"""72108-5ff06c0b5b05b""","Mon, 26 Jun 2023 11:35:51 GMT",467208,06767d3bd7653c0fc8616c81da8ce29dad1e3a55c5af88052ad704c925fa8757,complete received body,initial baseline,not assessed,accessible,true,,
PILOT-ANNUAL-REPORT-SERIES,KU Leuven research-integrity annual-report corridor,https://research.kuleuven.be/en/integrity-ethics/integrity/annual-report,https://research.kuleuven.be/en/integrity-ethics/integrity/annual-report,2026-07-30,accessible,200,0,text/html;charset=utf-8,,,"Fri, 04 Jul 2025 18:03:17 GMT",22924,5e9d79537c3cc53c93cf97b3f054773249ee4a7ef238a35bb573a5d5fe84d335,complete received body,initial baseline,not assessed,accessible,true,,
PILOT-DECISION-ARCHIVE,LOWI advisory-opinions archive,https://lowi.nl/en/opinions/,https://lowi.nl/en/opinions/,2026-07-30,accessible,200,0,text/html; charset=UTF-8,,,,50319,6fc3937f7aa7f1d63bfa085cf95a511fa9ff14d43f4175fa7280edf98c03de0f,complete received body,initial baseline,not assessed,accessible,true,,
PILOT-REDIRECT,LOWI HTTP-to-HTTPS redirect test,http://lowi.nl/en/opinions/,https://lowi.nl/en/opinions/,2026-07-30,redirected-accessible,200,2,text/html; charset=UTF-8,,,,50319,6fc3937f7aa7f1d63bfa085cf95a511fa9ff14d43f4175fa7280edf98c03de0f,complete received body,initial baseline,human review required,redirect,true,,redirect requires equivalence review
PILOT-INACCESSIBLE,Deliberately inaccessible reserved-domain test,https://example.invalid/leru-maintenance-pilot,https://example.invalid/leru-maintenance-pilot,2026-07-30,network-error,,0,,,,,0,,none,initial unavailable baseline,not assessed,failure,true,fetch failed,network access failed
